﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/4820710/,1984,https://www.goodreads.com/book/show/40961427-1984,1984
https://book.douban.com/subject/5275059/,1988：我想和这个世界谈谈,https://www.goodreads.com/book/show/14737829-1988,1988：我想和這個世界談談
https://book.douban.com/subject/1049189/,1995-2005夏至未至,https://www.goodreads.com/book/show/36586455-1995-2005,1995-2005 夏至未至
https://book.douban.com/subject/4742918/,1Q84 BOOK 1,https://www.goodreads.com/book/show/6443834-1q84-book-1,1Q84 Book 1
https://book.douban.com/subject/4885241/,1Q84 BOOK 2,https://www.goodreads.com/book/show/38600835-1q84-book-2,1Q84 Book 2
https://book.douban.com/subject/5502995/,1Q84 BOOK 3,https://www.goodreads.com/book/show/12337749-1q84,1Q84: Book 3
https://book.douban.com/subject/30471298/,2001：太空漫游,https://www.goodreads.com/book/show/70535.2001,2001: A Space Odyssey
https://book.douban.com/subject/1941301/,365夜故事（上下）,https://www.goodreads.com/book/show/52929990-365,365夜故事（上下）
https://book.douban.com/subject/1439894/,CLOVER（VOL.1--4）,https://www.goodreads.com/book/show/6235902-clover,Clover: Omnibus
https://book.douban.com/subject/1456831/,GTO Vol. 1,https://www.goodreads.com/book/show/570393.GTO,"GTO: Great Teacher Onizuka, Vol. 1"
https://book.douban.com/subject/1823349/,Happy Birth Day,https://www.goodreads.com/book/show/42102360-happy-birth-day,Happy.Birth.Day──阿信.搖滾詩的誕生與轉生
https://book.douban.com/subject/1424555/,HUNTER X HUNTER 1,https://www.goodreads.com/book/show/1493253.Hunter_x_Hunter_Vol_01,"Hunter x Hunter, Vol. 01"
https://book.douban.com/subject/1419736/,MONSTER-怪物-02,https://www.goodreads.com/book/show/879119.Naoki_Urasawa_s_Monster_Vo,"Naoki Urasawa's Monster, Volume 2: Surprise Party"
https://book.douban.com/subject/2297697/,ZOO,https://www.goodreads.com/book/show/6149338-zoo,Zoo
https://book.douban.com/subject/2360269/,タッチ 完全版（1）,https://www.goodreads.com/book/show/13596433-1,タッチ 1
https://book.douban.com/subject/1394253/,デスノート 5,https://www.goodreads.com/book/show/13617.Death_Note_Vol_5,"Death Note, Vol. 5: Whiteout"
https://book.douban.com/subject/2250587/,一个人的好天气,https://www.goodreads.com/book/show/10803958,ひとり日和
https://book.douban.com/subject/24934182/,一个人的朝圣,https://www.goodreads.com/book/show/13227454-the-unlikely-pilgrimage-of-harold-fry,The Unlikely Pilgrimage of Harold Fry
https://book.douban.com/subject/1692648/,一个人的村庄,https://www.goodreads.com/book/show/19459939,一个人的村庄（文字版） (Chinese Edition)
https://book.douban.com/subject/26672693/,一个叫欧维的男人决定去死,https://www.goodreads.com/book/show/15869749-en-man-som-heter-ove,En man som heter Ove
https://book.douban.com/subject/2154960/,一个陌生女人的来信,https://www.goodreads.com/book/show/8123137-letter-from-an-unknown-woman,Letter from an Unknown Woman
https://book.douban.com/subject/1082387/,一九八四·动物农场,https://www.goodreads.com/book/show/5472.Animal_Farm_1984,Animal Farm / 1984
https://book.douban.com/subject/1346815/,一個人住第5年,https://www.goodreads.com/book/show/6762445-5,一個人住第5年
https://book.douban.com/subject/1035848/,一千零一夜,https://www.goodreads.com/book/show/6052296-the-arabian-nights,"The Arabian Nights: Tales of 1001 Nights, Volume 1 - 3 complete"
https://book.douban.com/subject/3633461/,一句顶一万句,https://www.goodreads.com/book/show/19200550,一句顶一万句
https://book.douban.com/subject/1767945/,一只特立独行的猪,https://www.goodreads.com/book/show/18679857,一只特立独行的猪
https://book.douban.com/subject/1453210/,一座城池,https://www.goodreads.com/book/show/19016496,一座城池 (韩寒文集)
https://book.douban.com/subject/24382569/,一桩事先张扬的凶杀案,https://www.goodreads.com/book/show/762.Cr_nica_de_una_muerte_anunciada,Crónica de una muerte anunciada
https://book.douban.com/subject/1919201/,七夜雪,https://www.goodreads.com/book/show/31851483,七夜雪
https://book.douban.com/subject/1389960/,七龍珠 34,https://www.goodreads.com/book/show/29477426-dragon-ball,"Dragon Ball: Ultimate Edition, volumen 34"
https://book.douban.com/subject/1041482/,万历十五年,https://www.goodreads.com/book/show/815857.1587,1587: A Year of No Significance: The Ming Dynasty in Decline
https://book.douban.com/subject/1036490/,万水千山走遍,https://www.goodreads.com/book/show/7442828-wanshuiqianshan-zoubian,萬水千山走遍 [WanShuiQianShan ZouBian]
https://book.douban.com/subject/4187411/,万物有灵且美,https://www.goodreads.com/book/show/38743.All_Things_Bright_and_Beautiful,All Things Bright and Beautiful
https://book.douban.com/subject/2567698/,三体,https://www.goodreads.com/book/show/20518872-the-three-body-problem,The Three-Body Problem
https://book.douban.com/subject/3066477/,三体Ⅱ,https://www.goodreads.com/book/show/23168817-the-dark-forest,The Dark Forest
https://book.douban.com/subject/5363767/,三体Ⅲ,https://www.goodreads.com/book/show/25451264-death-s-end,Death's End
https://book.douban.com/subject/6518605/,三体全集,https://www.goodreads.com/book/show/34569357-remembrance-of-earth-s-past,Remembrance of Earth's Past: The Three-Body Trilogy
https://book.douban.com/subject/1019568/,三国演义（全二册）,https://www.goodreads.com/book/show/158770.Three_Kingdoms,Three Kingdoms
https://book.douban.com/subject/2129427/,三毛从军记全集,https://www.goodreads.com/book/show/30771040-sanmao-joins-the-army-a-complete-collection-of-zhang-leping-s-comics-c,Sanmao Joins the Army (A Complete Collection of Zhang Leping's Comics)(Color Edition) (Chinese Edition) 三毛从军记(彩色版张乐平连环漫画全集)/译林世界连环画漫画经典大系
